PR_ALMACEN,PR_CLAVE,PR_DESCRIPCION,PR_COSTO,PR_EXISTENCIA,CLASIFICACION1,PROVEEDOR,PS_NOMBRE
105,C21190231,JAGUAR MED,12500,0,54,119,ARTE MANOS
105,C21190232,JAGUAR PARADO 20X19X49,3250,3,54,119,ARTE MANOS
105,C21190233,JAGUAR SENTADO 27X25X48,3100,0,54,119,ARTE MANOS
105,C21190234,JAGUAR ECHADO 20X22X38,3100,0,54,119,ARTE MANOS
105,C21190235,OLLA GDE C 3 JAGUARES 27X23,5400,0,54,119,ARTE MANOS
105,C21190236,JAGUAR PARADO C 2 CRIAS 11X14X30 25,2500,0,54,119,ARTE MANOS
105,C21190237,JAGUAR PARADO C 1 CRIA 12X18X25,1800,0,54,119,ARTE MANOS
105,C21190238,JAGUAR ECHADO C 1 CRIA 17X13X25,1800,0,54,119,ARTE MANOS
105,C21190239,OLLA MINI C 3 JAGUARES 16X12,540,0,54,119,ARTE MANOS
105,C21190240,JAGUAR ECHADO 18X13X25,2100,0,54,119,ARTE MANOS
105,C21190241,JAGUAR PARADO 13X20X26,2100,0,54,119,ARTE MANOS
105,C21190242,JAGUAR ECHADO 10X6X14,1300,0,54,119,ARTE MANOS
105,C21190243,JAGUAR  SENTADO 9X10X10,1300,0,54,119,ARTE MANOS
105,C21190244,JAGUAR AGACHADO 10X7X20,1300,0,54,119,ARTE MANOS
105,C21190245,JAGUAR MINI,1200,0,54,119,ARTE MANOS
105,C21190246,FIGURAS VARIAS DE BARRO,400,0,54,119,ARTE MANOS
105,C21190247,FIGURA VENDEDORA BARRO,200,0,54,119,ARTE MANOS
105,C21190248,FIGURA JUCHITECA BARRO,200,0,54,119,ARTE MANOS
105,C21190249,FIGURA MONJA CORONADA BARRO,200,0,54,119,ARTE MANOS
105,C21190250,VIRGEN DE GUADALUPE BARRO,200,0,54,119,ARTE MANOS
105,C21190251,FIGURA VENDEDOR 2 PZAS BARRO,200,0,54,119,ARTE MANOS
105,C11190008,ARETES BORDADOS CHIAPAS,50,0,66,119,ARTE MANOS
105,C11190009,ARETES CHAQUIRA C BORLA,40,0,66,119,ARTE MANOS
105,C11190010,ARETES MACRAME,40,0,66,119,ARTE MANOS
105,C11190011,ARETES CHAQUIRA,50,0,66,119,ARTE MANOS
105,C11190012,ARETES CHAQUIRA COL PATRIOS,40,0,66,119,ARTE MANOS
105,C6119184,BLUSA LINO BORDADO ROCOCO,2240,0,53,119,ARTE MANOS
105,C6119185,BLUSA ROCOCO MANTA,640,0,53,119,ARTE MANOS
105,C6119186,BLUSA ROCOCO MANTA,560,0,53,119,ARTE MANOS
105,C6119187,BLUSA ROCOCO GASA,1560,0,53,119,ARTE MANOS
105,C6119188,BLUSA ROCOCO GASA,928,0,53,119,ARTE MANOS
105,C6119189,BLUSA BORDADO SENCILLO MANTA,320,0,53,119,ARTE MANOS
105,C6119190,TAPETE LANA TINTES NATURALES,4000,0,53,119,ARTE MANOS
105,C6119191,BOLSA C ASAS LANA TELAR NO.1,820,0,53,119,ARTE MANOS
105,C6119192,BOLSA C ASAS LANA TELAR NO.2,640,0,53,119,ARTE MANOS
105,C6119193,COSMETIQUERA LANA CH NO.3,320,0,53,119,ARTE MANOS
105,C6119194,COSMETIQUERA LANA MED  NO.4,480,0,53,119,ARTE MANOS
105,C619910001,JORONGO GUIRNALDA ROSAS LANA,2017.24,0,53,1991,ARANTXA CHIRINO
105,C619910002,JORONGO LAZO ROJO LANA,2327.59,0,53,1991,ARANTXA CHIRINO
105,C619910003,JORONGO LAZO AZUL LANA,2482.76,0,53,1991,ARANTXA CHIRINO
105,C619910004,QUEXQUEMETL ENAMORADX PARTE 1 LANA,2120.69,0,53,1991,ARANTXA CHIRINO
105,C619910005,QUEXQUEMETL ENAMORADX PARTE 2 LANA,2224.14,0,53,1991,ARANTXA CHIRINO
105,C619910006,QUEXQUEMETL GUIRNALDA ROSAS LANA,1965.52,0,53,1991,ARANTXA CHIRINO
105,C619910007,QUEXQUEMITL RAMO DE ROSAS LANA,1810.34,0,53,1991,ARANTXA CHIRINO
105,C619910008,BOLSA FLUJO 1 LANA 38X35,984.31,0,53,1991,ARANTXA CHIRINO
105,C619910009,BOLSA UTERO LANA 37X37,1148.28,0,53,1991,ARANTXA CHIRINO
105,C619910010,COJIN  LANA 40X40,879.31,0,53,1991,ARANTXA CHIRINO
106,C21190227,CANDELERO JAGUAR CH 13X10X12,630,0,54,119,ARTE MANOS
106,C21190228,CABEZA CH JAGUAR 13X12X11,650,0,54,119,ARTE MANOS
106,C21190229,OLLA CHICA C JAGUARES 20X16,1300,0,54,119,ARTE MANOS
106,C21190230,OLLA GDE C 3 JAGUARES 30X21,3600,0,54,119,ARTE MANOS
106,C21190231,JAGUAR MED,12500,0,54,119,ARTE MANOS
106,C21190232,JAGUAR PARADO 20X19X49,3250,0,54,119,ARTE MANOS
106,C21190233,JAGUAR SENTADO 27X25X48,3100,0,54,119,ARTE MANOS
106,C21190234,JAGUAR ECHADO 20X22X38,3100,0,54,119,ARTE MANOS
106,C21190235,OLLA GDE C 3 JAGUARES 27X23,5400,0,54,119,ARTE MANOS
106,C21190236,JAGUAR PARADO C 2 CRIAS 11X14X30 25,2500,0,54,119,ARTE MANOS
106,C21190237,JAGUAR PARADO C 1 CRIA 12X18X25,1800,0,54,119,ARTE MANOS
106,C21190238,JAGUAR ECHADO C 1 CRIA 17X13X25,1800,0,54,119,ARTE MANOS
106,C21190239,OLLA MINI C 3 JAGUARES 16X12,540,0,54,119,ARTE MANOS
106,C21190240,JAGUAR ECHADO 18X13X25,2100,0,54,119,ARTE MANOS
106,C21190241,JAGUAR PARADO 13X20X26,2100,0,54,119,ARTE MANOS
106,C21190242,JAGUAR ECHADO 10X6X14,1300,0,54,119,ARTE MANOS
106,C21190243,JAGUAR  SENTADO 9X10X10,1300,0,54,119,ARTE MANOS
106,C21190244,JAGUAR AGACHADO 10X7X20,1300,0,54,119,ARTE MANOS
106,C21190245,JAGUAR MINI,1200,0,54,119,ARTE MANOS
106,C21190246,FIGURAS VARIAS DE BARRO,400,0,54,119,ARTE MANOS
106,C21190247,FIGURA VENDEDORA BARRO,200,0,54,119,ARTE MANOS
106,C21190248,FIGURA JUCHITECA BARRO,200,0,54,119,ARTE MANOS
106,C21190249,FIGURA MONJA CORONADA BARRO,200,0,54,119,ARTE MANOS
106,C21190250,VIRGEN DE GUADALUPE BARRO,200,0,54,119,ARTE MANOS
106,C21190251,FIGURA VENDEDOR 2 PZAS BARRO,200,0,54,119,ARTE MANOS
106,C11190008,ARETES BORDADOS CHIAPAS,50,0,66,119,ARTE MANOS
106,C11190009,ARETES CHAQUIRA C BORLA,40,0,66,119,ARTE MANOS
106,C11190010,ARETES MACRAME,40,0,66,119,ARTE MANOS
106,C11190011,ARETES CHAQUIRA,50,0,66,119,ARTE MANOS
106,C11190012,ARETES CHAQUIRA COL PATRIOS,40,0,66,119,ARTE MANOS
106,C6119184,BLUSA LINO BORDADO ROCOCO,2240,0,53,119,ARTE MANOS
106,C6119185,BLUSA ROCOCO MANTA,640,0,53,119,ARTE MANOS
106,C6119186,BLUSA ROCOCO MANTA,560,0,53,119,ARTE MANOS
106,C6119187,BLUSA ROCOCO GASA,1560,0,53,119,ARTE MANOS
106,C6119188,BLUSA ROCOCO GASA,928,0,53,119,ARTE MANOS
106,C6119189,BLUSA BORDADO SENCILLO MANTA,320,0,53,119,ARTE MANOS
106,C6119190,TAPETE LANA TINTES NATURALES,4000,0,53,119,ARTE MANOS
106,C6119191,BOLSA C ASAS LANA TELAR NO.1,820,0,53,119,ARTE MANOS
106,C6119192,BOLSA C ASAS LANA TELAR NO.2,640,0,53,119,ARTE MANOS
106,C6119193,COSMETIQUERA LANA CH NO.3,320,0,53,119,ARTE MANOS
106,C6119194,COSMETIQUERA LANA MED  NO.4,480,0,53,119,ARTE MANOS
106,C619910001,JORONGO GUIRNALDA ROSAS LANA,2017.24,0,53,1991,ARANTXA CHIRINO
106,C619910002,JORONGO LAZO ROJO LANA,2327.59,0,53,1991,ARANTXA CHIRINO
106,C619910003,JORONGO LAZO AZUL LANA,2482.76,0,53,1991,ARANTXA CHIRINO
106,C619910004,QUEXQUEMETL ENAMORADX PARTE 1 LANA,2120.69,0,53,1991,ARANTXA CHIRINO
106,C619910005,QUEXQUEMETL ENAMORADX PARTE 2 LANA,2224.14,0,53,1991,ARANTXA CHIRINO
106,C619910006,QUEXQUEMETL GUIRNALDA ROSAS LANA,1965.52,0,53,1991,ARANTXA CHIRINO
106,C619910007,QUEXQUEMITL RAMO DE ROSAS LANA,1810.34,0,53,1991,ARANTXA CHIRINO
106,C619910008,BOLSA FLUJO 1 LANA 38X35,984.31,0,53,1991,ARANTXA CHIRINO
106,C619910009,BOLSA UTERO LANA 37X37,1148.28,0,53,1991,ARANTXA CHIRINO
106,C619910010,COJIN  LANA 40X40,879.31,0,53,1991,ARANTXA CHIRINO
101,C62300039,CAMINO TENANGO MULTICOLOR C/CENEFA,2700,0,53,230,LAURA DELGADILLO SANTOS
103,C62300039,CAMINO TENANGO MULTICOLOR C/CENEFA,2700,0,53,230,LAURA DELGADILLO SANTOS
104,C62300039,CAMINO TENANGO MULTICOLOR C/CENEFA,2700,0,53,230,LAURA DELGADILLO SANTOS
105,C62300039,CAMINO TENANGO MULTICOLOR C/CENEFA,2700,0,53,230,LAURA DELGADILLO SANTOS
